=============================================================================================
    ██╗  ██╗ ██████╗ ██╗██╗       File: koil/logs/latest.log
    ██║ ██╔╝██╔═══██╗██║██║       ----------------------------------
    █████╔╝ ██║   ██║██║██║       Minecraft: 1.20.1
    ██╔═██╗ ██║   ██║██║██║       Fabric Loader: 0.15.9
    ██║  ██╗╚██████╔╝██║███████╗  Koil: v0.70.25
    ╚═╝  ╚═╝ ╚═════╝ ╚═╝╚══════╝  -----------------------------------
=============================================================================================

[-] | [12:50:44] [Start-up thread/Info]: Starting...
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/config.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: config.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/sys.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/sys.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/koil.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./config/koil.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/key.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/key.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/catcher.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/catcher.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/design.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/design.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: design.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/design.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/design.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/data.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/data.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/music.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/files/music.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: music.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/music.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/music.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/files/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/background.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/files/background.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: background.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/background.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/content/sys/design/files/background.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/design/default/files/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/wiki/help_book.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/wiki/help_book.json
[-] | [12:50:44] [File-Management thread/Info]: Keys match. No download necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validDigits.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/auth/validDigits.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: validDigits.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validDigits.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validDigits.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/auth/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validSerial.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/auth/validSerial.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: validSerial.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validSerial.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/validSerial.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/auth/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/verifiedAuthors.json
[-] | [12:50:44] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/auth/verifiedAuthors.json. Skipping download.
[-] | [12:50:44] [File-Management thread/Info]: Getting updates for file: verifiedAuthors.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/verifiedAuthors.json
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/auth/verifiedAuthors.json
[-] | [12:50:44] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/auth/koil-temp-file
[-] | [12:50:44] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [12:50:44] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/data/player_data/Dev/uuid.json
[*] | [12:50:52] [File-Management thread/Error]: Download failed: java.io.FileNotFoundException: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/data/player_data/Dev/uuid.json
[-] | [12:50:52] [Start-up thread/Info]: Beginning Initialization Threads...
[-] | [12:50:52] [Content Registry/Info]: Indexed 0 worlds and 0 Content definitions.
[-] | [12:50:52] [Content Registry/Info]: Registered 0 startup physical Content holder(s).
[-] | [12:50:53] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/sys.json
[-] | [12:50:53] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/sys.json
[-] | [12:50:56] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/sys.json
[-] | [12:50:56] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/sys.json
[~] | [12:51:00] [Shut-down thread/Fatal]: Ending All Processes.
