=============================================================================================
    ██╗  ██╗ ██████╗ ██╗██╗       File: koil/logs/latest.log
    ██║ ██╔╝██╔═══██╗██║██║       ----------------------------------
    █████╔╝ ██║   ██║██║██║       Minecraft: 1.20.1
    ██╔═██╗ ██║   ██║██║██║       Fabric Loader: 0.15.9
    ██║  ██╗╚██████╔╝██║███████╗  Koil: v0.70.25
    ╚═╝  ╚═╝ ╚═════╝ ╚═╝╚══════╝  -----------------------------------
=============================================================================================

[-] | [23:26:08] [Start-up thread/Info]: Starting...
[-] | [23:26:08] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [23:26:08] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/config.json. Skipping download.
[-] | [23:26:08] [File-Management thread/Info]: Getting updates for file: config.json from URL: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [23:26:08] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/config.json
[-] | [23:26:08] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/koil-temp-file
[-] | [23:26:08] [File-Management thread/Info]: No new entries found. No update necessary.
[-] | [23:26:08] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/sys.json
[-] | [23:26:08] [File-Management thread/Info]: Downloaded file to: /home/everest/IdeaProjects/koil/run/./koil/sys/sys.json
[-] | [23:26:08] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/koil.json
[-] | [23:26:08] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./config/koil.json. Skipping download.
[-] | [23:26:08] [File-Management thread/Info]: Requesting Online Download for: https://raw.githubusercontent.com/Koil-public/koil-online-data/main/key.json
[-] | [23:26:08] [File-Management thread/Info]: File already exists at: /home/everest/IdeaProjects/koil/run/./koil/sys/key.json. Skipping download.
